app_id,title,description,tags,price_final,date_release,rating,positive_ratio,user_reviews
304930,Unturned,"You're a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.","[""Free to Play"", ""Survival"", ""Zombies"", ""Multiplayer"", ""Open World"", ""Co-op"", ""Crafting"", ""Sandbox"", ""Adventure"", ""Shooter"", ""First-Person"", ""Post-apocalyptic"", ""Looter Shooter"", ""Action"", ""FPS"", ""Singleplayer"", ""Massively Multiplayer"", ""Atmospheric"", ""Indie"", ""Casual""]",0.0,2017-07-07,Very Positive,91,515016
433850,Z1 Battle Royale,"Z1 Battle Royale is a Free to Play, fast-paced, action arcade, competitive Battle Royale. Staying true to its ""King of the Kill"" roots, the game has been revamped and restored to the classic feel, look, and gameplay everyone fell in love with. Play solo, duos, or fives and be the last ones standing.","[""Survival"", ""Massively Multiplayer"", ""Multiplayer"", ""Open World"", ""Battle Royale"", ""PvP"", ""FPS"", ""Action"", ""Shooter"", ""Free to Play"", ""Third-Person Shooter"", ""Zombies"", ""Co-op"", ""Early Access"", ""Online Co-Op"", ""Adventure"", ""First-Person"", ""Violent"", ""Gore"", ""Walking Simulator""]",0.0,2018-02-28,Mixed,55,207328
1281930,tModLoader,"Dig, Fight, and Build your way through the world of player-created mods on Terraria with tModLoader - this DLC makes modding Terraria a reality!","[""Adventure"", ""Action"", ""Free to Play"", ""Indie"", ""RPG"", ""Mod"", ""Sandbox"", ""Moddable"", ""Multiplayer"", ""2D"", ""Pixel Graphics"", ""Building"", ""Survival"", ""Singleplayer"", ""Online Co-Op"", ""Replay Value"", ""Great Soundtrack"", ""Co-op"", ""Open World Survival Craft"", ""Difficult""]",0.0,2020-05-16,Overwhelmingly Positive,97,188684
1468810,鬼谷八荒 Tale of Immortal,"Tale of Immortal is an open-world sandbox based on Chinese mythology and cultivation. You will grow to become immortal, conquer the beasts from the Classic of Mountains and Season, make your choices carefully and grasp your own destiny.","[""Tactical RPG"", ""Management"", ""Singleplayer"", ""Mythology"", ""Sandbox"", ""Simulation"", ""RPG"", ""Choose Your Own Adventure"", ""Dating Sim"", ""Action"", ""Adventure"", ""Exploration"", ""2D"", ""Fantasy"", ""Action RPG"", ""Action-Adventure"", ""Hand-drawn"", ""Story Rich"", ""Sexual Content"", ""Strategy RPG""]",19.99,2023-05-26,Mixed,52,185051
698780,Doki Doki Literature Club!,The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.,"[""Psychological Horror"", ""Visual Novel"", ""Anime"", ""Free to Play"", ""Horror"", ""Cute"", ""Dating Sim"", ""Dark"", ""Story Rich"", ""Romance"", ""Singleplayer"", ""Great Soundtrack"", ""Gore"", ""Violent"", ""Indie"", ""Sexual Content"", ""Memes"", ""First-Person"", ""Casual"", ""Adventure""]",0.0,2017-10-06,Overwhelmingly Positive,96,184949
319630,Life is Strange - Episode 1,"Episode 1 now FREE! Life is Strange is an award-winning and critically acclaimed episodic adventure game that allows the player to rewind time and affect the past, present and future.","[""Story Rich"", ""Choices Matter"", ""Great Soundtrack"", ""Female Protagonist"", ""Time Travel"", ""Atmospheric"", ""Episodic"", ""Singleplayer"", ""Adventure"", ""Time Manipulation"", ""Multiple Endings"", ""Mystery"", ""Third Person"", ""Point & Click"", ""Indie"", ""Walking Simulator"", ""Casual"", ""Action"", ""Memes"", ""LGBTQ+""]",19.99,2015-01-29,Overwhelmingly Positive,96,160660
700330,SCP: Secret Laboratory,"Deep within the SCP Foundation during a containment breach, many of the anomalies have bypassed security and escaped from their chambers - without peaceful intentions. Become site personnel, a re-containment agent, or an anomalous entity and fight to take control of or escape the facility!","[""Free to Play"", ""Horror"", ""Multiplayer"", ""First-Person"", ""Co-op"", ""Survival Horror"", ""Shooter"", ""Online Co-Op"", ""Action"", ""FPS"", ""Memes"", ""Sci-fi"", ""Survival"", ""Psychological Horror"", ""Atmospheric"", ""Strategy"", ""Difficult"", ""Indie"", ""Adventure"", ""Fantasy""]",0.0,2017-12-29,Very Positive,91,154538
1782210,Crab Game,"Crab Game is a First-Person Multiplayer game where you play through several different minigames based on children's games, until only one player stands victorious.","[""Psychological Horror"", ""Multiplayer"", ""Free to Play"", ""Battle Royale"", ""PvP"", ""Action"", ""First-Person"", ""Parkour"", ""3D"", ""FPS"", ""Platformer"", ""Arcade"", ""Physics"", ""Combat"", ""Casual"", ""Nudity"", ""Runner"", ""Racing"", ""3D Platformer"", ""Sci-fi""]",0.0,2021-10-29,Very Positive,92,144524
227940,Heroes & Generals,"Shoot, blow sh!t up, fly or bark orders in the ultimate Free-to-Play, large scale, multiplayer, shooter experience. Thousands of players in multiple battles fighting one massive war of nations. The first to capture 15 cities takes the glory.","[""Free to Play"", ""World War II"", ""FPS"", ""Multiplayer"", ""War"", ""Shooter"", ""Action"", ""First-Person"", ""Massively Multiplayer"", ""Strategy"", ""Tactical"", ""Co-op"", ""Historical"", ""Open World"", ""Simulation"", ""Atmospheric"", ""Adventure"", ""Indie"", ""Early Access"", ""RTS""]",0.0,2016-10-18,Mixed,66,141919
1625450,Muck,"Muck is a survival-roguelike. Collect resources, find items & build a base to survive for as long as you can.","[""Survival"", ""Crafting"", ""Multiplayer"", ""Building"", ""Roguelike"", ""Open World"", ""Exploration"", ""Adventure"", ""Base Building"", ""Action"", ""First-Person"", ""Action-Adventure"", ""3D"", ""Action Roguelike"", ""Combat"", ""Mining"", ""Colorful"", ""RPG"", ""Free to Play"", ""Fantasy""]",0.0,2021-06-05,Very Positive,94,139841
